City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
175,Hobyo,SO,2022-04-01 17:25:24,5.3505,48.5268,82.38,71,11,13.15,few clouds,0.0,0.0
176,Mehamn,NO,2022-04-01 17:25:24,71.0357,27.8492,28.31,88,100,12.28,light snow,0.0,0.0
177,Oistins,BB,2022-04-01 17:24:11,13.0667,-59.5333,86.09,58,20,21.85,few clouds,0.0,0.0
178,Machiques,VE,2022-04-01 17:25:25,10.0644,-72.545,91.69,46,54,3.8,broken clouds,0.0,0.0
179,Bubaque,GW,2022-04-01 17:25:26,11.2833,-15.8333,75.47,73,11,16.13,few clouds,0.0,0.0
180,Port Hueneme,US,2022-04-01 17:25:26,34.1478,-119.1951,68.09,79,0,5.75,haze,0.0,0.0
181,Castro,BR,2022-04-01 17:25:27,-24.7911,-50.0119,56.1,97,100,5.48,overcast clouds,0.0,0.0
182,College,US,2022-04-01 17:25:28,64.8569,-147.8028,12.52,45,0,9.22,clear sky,0.0,0.0
183,Saint-Pierre,RE,2022-04-01 17:25:28,-21.3393,55.4781,76.68,88,75,10.36,light rain,0.0,0.0
184,Vostok,RU,2022-04-01 17:25:29,46.4856,135.8833,9.07,93,39,6.24,scattered clouds,0.0,0.0
185,Guerrero Negro,MX,2022-04-01 17:25:29,27.9769,-114.0611,63.07,60,29,13.85,scattered clouds,0.0,0.0
186,Carutapera,BR,2022-04-01 17:25:30,-1.195,-46.02,74.34,97,100,3.96,overcast clouds,0.0,0.0
187,Padang,ID,2022-04-01 17:25:30,-0.9492,100.3543,76.21,78,1,3.96,clear sky,0.0,0.0
188,Vermilion,US,2022-04-01 17:21:41,40.1667,-87.7506,42.57,62,100,11.5,overcast clouds,0.0,0.0
189,Dingle,PH,2022-04-01 17:25:31,10.9995,122.6711,75.7,90,87,8.21,overcast clouds,0.0,0.0
190,Yenagoa,NG,2022-04-01 17:25:31,4.9247,6.2642,83.75,75,100,7.78,light rain,0.0,0.0
191,Evensk,RU,2022-04-01 17:25:32,61.95,159.2333,12.7,77,100,10.29,overcast clouds,0.0,0.0
192,Bandhi,PK,2022-04-01 17:25:32,26.5861,68.3006,80.47,5,0,6.98,clear sky,0.0,0.0
193,Meaford,CA,2022-04-01 17:24:00,44.6001,-80.583,32.32,86,100,17.96,light snow,0.0,0.0
194,Zhanaozen,KZ,2022-04-01 17:24:03,43.3,52.8,58.91,35,0,3.51,clear sky,0.0,0.0
195,Bakchar,RU,2022-04-01 17:25:33,57.0186,82.0711,32.13,99,100,4.38,snow,0.0,0.0
196,Safaga,EG,2022-04-01 17:25:33,26.7292,33.9365,78.78,37,71,2.82,broken clouds,0.0,0.0
197,Rawson,AR,2022-04-01 17:20:55,-43.3002,-65.1023,76.82,17,81,18.25,broken clouds,0.0,0.0
198,Ginir,ET,2022-04-01 17:25:34,7.1333,40.7,62.15,61,14,2.59,few clouds,0.0,0.0
199,Porciuncula,BR,2022-04-01 17:25:34,-20.9628,-42.0408,83.39,65,72,3.53,light rain,0.0,0.0
200,Emerald,AU,2022-04-01 17:25:35,-23.5333,148.1667,70.34,88,6,6.91,clear sky,0.0,0.0
201,Bethel,US,2022-04-01 17:25:35,41.3712,-73.414,55.02,72,100,12.66,overcast clouds,0.0,0.0
202,Salalah,OM,2022-04-01 17:23:13,17.0151,54.0924,82.49,65,0,2.3,clear sky,0.0,0.0
203,Vila,PT,2022-04-01 17:21:32,42.0304,-8.1588,42.69,52,79,9.62,broken clouds,0.0,0.0
204,Santiago Del Estero,AR,2022-04-01 17:25:36,-27.7951,-64.2615,72.48,23,0,8.68,clear sky,0.0,0.0
205,Ixtapa,MX,2022-04-01 17:25:37,20.7,-105.2,72.63,64,75,6.91,broken clouds,0.0,0.0
206,Ketchikan,US,2022-04-01 17:25:37,55.3422,-131.6461,39.67,87,100,6.91,mist,0.0,0.0
207,Broken Hill,AU,2022-04-01 17:25:38,-31.95,141.4333,53.31,54,0,10.36,clear sky,0.0,0.0
208,Denpasar,ID,2022-04-01 17:23:02,-8.65,115.2167,74.86,100,75,3.44,light rain,0.0,0.0
209,Kurilsk,RU,2022-04-01 17:25:39,45.2333,147.8833,26.24,71,20,5.5,few clouds,0.0,0.0
